stream,cohort,cohort_p,h,C_obs,N_hat,F_hat,lo90,lo50,sim_median,hi50,hi90
all,2023-07,24282,35,5983.0,6001.645810673041,0.996893217083907,5994.0,5997.75,6001.0,6005.0,6011.0
all,2023-08,24283,34,5911.0,5934.992690929783,0.9959574186221914,5926.0,5930.0,5934.0,5938.0,5946.0
all,2023-09,24284,33,5598.0,5626.457930977367,0.9949421232102905,5617.0,5622.0,5627.0,5632.0,5640.0
all,2023-10,24285,32,5365.0,5397.9258099517665,0.9939002848295796,5384.95,5392.0,5397.0,5403.0,5411.0
all,2023-11,24286,31,5142.0,5178.728460939694,0.9929078226022631,5166.0,5172.0,5178.0,5184.0,5192.0
all,2023-12,24287,30,5337.0,5381.1137066349265,0.9918021233075721,5366.0,5374.0,5380.5,5387.0,5397.0
all,2024-01,24288,29,6409.0,6470.759634894158,0.9904555819750878,6449.95,6463.0,6470.0,6478.0,6495.05
all,2024-02,24289,28,5368.0,5427.298196882096,0.9890740853494724,5410.0,5418.75,5426.0,5433.0,5448.0
all,2024-03,24290,27,5257.0,5322.983630106073,0.9876040140847177,5302.0,5313.0,5323.0,5332.0,5347.0
all,2024-04,24291,26,5322.0,5397.043476561976,0.9860954470928628,5375.0,5387.0,5395.5,5406.0,5424.05
all,2024-05,24292,25,5560.0,5649.238613888937,0.9842034263396948,5623.95,5637.0,5649.0,5662.0,5678.0
all,2024-06,24293,24,5541.0,5642.257797972646,0.982053673972673,5589.95,5615.0,5637.5,5661.0,5701.05
all,2024-07,24294,23,5715.0,5858.909254936998,0.9754375347568777,5796.95,5830.0,5856.0,5880.0,5924.0
all,2024-08,24295,22,5952.0,6113.912027822303,0.9735174423371653,6037.0,6080.0,6108.5,6139.0,6195.15
all,2024-09,24296,21,5169.0,5320.808603490838,0.9714688847497275,5260.0,5296.0,5320.5,5350.0,5398.0
all,2024-10,24297,20,5502.0,5676.7825755539725,0.969210979418757,5586.95,5635.75,5676.5,5712.25,5776.45
all,2024-11,24298,19,5056.0,5229.81142293285,0.9667652599918454,5136.75,5185.75,5231.0,5273.25,5347.1
all,2024-12,24299,18,5362.0,5562.935938444499,0.963879516020333,5433.95,5501.75,5552.0,5608.25,5688.1
all,2025-01,24300,17,6040.0,6288.981233832168,0.960409925777366,6137.0,6221.75,6279.0,6349.25,6471.299999999999
all,2025-02,24301,16,5151.0,5384.838165485549,0.9565747087843142,5220.9,5309.0,5377.0,5453.0,5561.1
all,2025-03,24302,15,5611.0,5889.274781246508,0.9527488881767529,5685.0,5797.0,5876.0,5973.25,6114.1
all,2025-04,24303,14,5449.0,5745.237485336088,0.948437730190929,5557.9,5659.0,5744.0,5832.25,5999.0
