variant,quantity,stream,h,value,delta_vs_base
base,F_hat(h),Y0,1.0,0.6986419413219745,0.0
base,nowcast_rel_bias,Y0,1.0,0.011637899832305183,0.0
base,F_hat(h),Y0,3.0,0.8035204129542776,0.0
base,nowcast_rel_bias,Y0,3.0,0.024183132752006373,0.0
base,F_hat(h),Y0,6.0,0.8702882153459067,0.0
base,nowcast_rel_bias,Y0,6.0,0.030220058077360563,0.0
base,F_hat(h),Y0,12.0,0.9352693066254616,0.0
base,nowcast_rel_bias,Y0,12.0,0.015749264587727782,0.0
base,pooled_cov90,Y0,,0.9916666666666667,0.0
base,F_hat(h),Y3,1.0,0.4321020297342624,0.0
base,nowcast_rel_bias,Y3,1.0,0.03117601720200717,0.0
base,F_hat(h),Y3,3.0,0.6064589891007192,0.0
base,nowcast_rel_bias,Y3,3.0,0.08864795178292313,0.0
base,F_hat(h),Y3,6.0,0.7209558494184143,0.0
base,nowcast_rel_bias,Y3,6.0,0.09849115281572006,0.0
base,F_hat(h),Y3,12.0,0.8118254325655949,0.0
base,nowcast_rel_bias,Y3,12.0,0.04035865489748601,0.0
base,pooled_cov90,Y3,,0.8761061946902655,0.0
base,F_hat(h),severe,1.0,0.7226616425673033,0.0
base,nowcast_rel_bias,severe,1.0,-0.004870163920153022,0.0
base,F_hat(h),severe,3.0,0.8355748902894403,0.0
base,nowcast_rel_bias,severe,3.0,0.004018980191268862,0.0
base,F_hat(h),severe,6.0,0.8959001862772302,0.0
base,nowcast_rel_bias,severe,6.0,0.009657253213988049,0.0
base,F_hat(h),severe,12.0,0.9480728941536108,0.0
base,nowcast_rel_bias,severe,12.0,0.00781892507368658,0.0
base,pooled_cov90,severe,,0.9916666666666667,0.0
base,n_complaints,-,,1475987.0,0.0
all_channels,F_hat(h),Y0,1.0,0.6988433881149976,0.00020144679302303015
all_channels,nowcast_rel_bias,Y0,1.0,0.014425048946299911,0.0027871491139947278
all_channels,F_hat(h),Y0,3.0,0.8037355421281889,0.00021512917391131037
all_channels,nowcast_rel_bias,Y0,3.0,0.025820736585720025,0.0016376038337136516
all_channels,F_hat(h),Y0,6.0,0.8704957686659626,0.00020755332005584215
all_channels,nowcast_rel_bias,Y0,6.0,0.031167027362950676,0.000946969285590113
all_channels,F_hat(h),Y0,12.0,0.9354354252181751,0.0001661185927135378
all_channels,nowcast_rel_bias,Y0,12.0,0.01626831331162922,0.0005190487239014364
all_channels,pooled_cov90,Y0,,0.975,-0.01666666666666672
all_channels,F_hat(h),Y3,1.0,0.4355409511609785,0.0034389214267160906
all_channels,nowcast_rel_bias,Y3,1.0,0.03782963768675198,0.006653620484744809
all_channels,F_hat(h),Y3,3.0,0.6093908175009708,0.002931828400251635
all_channels,nowcast_rel_bias,Y3,3.0,0.10086057441244377,0.012212622629520636
all_channels,F_hat(h),Y3,6.0,0.7235429585771017,0.0025871091586874284
all_channels,nowcast_rel_bias,Y3,6.0,0.11284090561679284,0.014349752801072785
all_channels,F_hat(h),Y3,12.0,0.8140519549743527,0.0022265224087577584
all_channels,nowcast_rel_bias,Y3,12.0,0.05007573643999809,0.00971708154251208
all_channels,pooled_cov90,Y3,,0.8849557522123894,0.008849557522123908
all_channels,F_hat(h),severe,1.0,0.7229221793476172,0.0002605367803139025
all_channels,nowcast_rel_bias,severe,1.0,0.001783084560296392,0.006653248480449413
all_channels,F_hat(h),severe,3.0,0.8358453513910534,0.00027046110161310644
all_channels,nowcast_rel_bias,severe,3.0,0.007569353785714041,0.0035503735944451787
all_channels,F_hat(h),severe,6.0,0.896166315657775,0.0002661293805448217
all_channels,nowcast_rel_bias,severe,6.0,0.01172763626910641,0.0020703830551183616
all_channels,F_hat(h),severe,12.0,0.9483008316870088,0.00022793753339800382
all_channels,nowcast_rel_bias,severe,12.0,0.008819219755612846,0.001000294681926266
all_channels,pooled_cov90,severe,,0.9666666666666667,-0.025000000000000022
all_channels,n_complaints,-,,1523156.0,47169.0
D24,F_hat(h),Y0,1.0,0.7115660275951753,0.012924086273200741
D24,nowcast_rel_bias,Y0,1.0,0.011463298775000158,-0.00017460105730502523
D24,F_hat(h),Y0,3.0,0.8183846324136029,0.014864219459325367
D24,nowcast_rel_bias,Y0,3.0,0.023446014576612297,-0.0007371181753940761
D24,F_hat(h),Y0,6.0,0.8863875636850536,0.016099348339146835
D24,nowcast_rel_bias,Y0,6.0,0.028192410562674148,-0.0020276475146864155
D24,F_hat(h),Y0,12.0,0.9525707317082899,0.01730142508282828
D24,nowcast_rel_bias,Y0,12.0,0.014204162636704803,-0.0015451019510229792
D24,pooled_cov90,Y0,,0.95,-0.04166666666666674
D24,F_hat(h),Y3,1.0,0.4529514051168021,0.02084937538253967
D24,nowcast_rel_bias,Y3,1.0,-0.011162180995825383,-0.042338198197832556
D24,F_hat(h),Y3,3.0,0.6357212703393713,0.029262281238652155
D24,nowcast_rel_bias,Y3,3.0,0.07100916140370492,-0.017638790379218214
D24,F_hat(h),Y3,6.0,0.7557427240554218,0.03478687463700747
D24,nowcast_rel_bias,Y3,6.0,0.08465493602417846,-0.013836216791541595
D24,F_hat(h),Y3,12.0,0.8509968597376962,0.039171427172101314
D24,nowcast_rel_bias,Y3,12.0,0.0023955973730765373,-0.037963057524409476
D24,pooled_cov90,Y3,,0.8495575221238938,-0.026548672566371723
D24,F_hat(h),severe,1.0,0.7335955330087044,0.01093389044140114
D24,nowcast_rel_bias,severe,1.0,-0.004252866908819161,0.0006172970113338611
D24,F_hat(h),severe,3.0,0.8482171612608924,0.012642270971452096
D24,nowcast_rel_bias,severe,3.0,0.0038364421579108656,-0.00018253803335799637
D24,F_hat(h),severe,6.0,0.9094551806289248,0.013554994351694605
D24,nowcast_rel_bias,severe,6.0,0.008293150600011338,-0.0013641026139767105
D24,F_hat(h),severe,12.0,0.9624172630041719,0.014344368850561007
D24,nowcast_rel_bias,severe,12.0,0.005293826402515954,-0.002525098671170626
D24,pooled_cov90,severe,,0.9583333333333334,-0.033333333333333326
D24,n_complaints,-,,1475987.0,0.0
W36,F_hat(h),Y0,1.0,0.6851961139389153,-0.013445827383059217
W36,nowcast_rel_bias,Y0,1.0,-0.022131709426193913,-0.033769609258499096
W36,F_hat(h),Y0,3.0,0.7913244386410262,-0.012195974313251368
W36,nowcast_rel_bias,Y0,3.0,-0.008073641505507849,-0.03225677425751422
W36,F_hat(h),Y0,6.0,0.8586683195167826,-0.01161989582912415
W36,nowcast_rel_bias,Y0,6.0,0.0033922947393192444,-0.026827763338041318
W36,F_hat(h),Y0,12.0,0.9273539377735946,-0.007915368851866944
W36,nowcast_rel_bias,Y0,12.0,0.0009152616891197616,-0.01483400289860802
W36,pooled_cov90,Y0,,0.9833333333333333,-0.008333333333333415
W36,F_hat(h),Y3,1.0,0.42663852457385465,-0.005463505160407778
W36,nowcast_rel_bias,Y3,1.0,-0.019249051827286142,-0.050425069029293314
W36,F_hat(h),Y3,3.0,0.565503823562585,-0.040955165538134164
W36,nowcast_rel_bias,Y3,3.0,0.03452138198001272,-0.05412656980291041
W36,F_hat(h),Y3,6.0,0.6971801575994206,-0.02377569181899364
W36,nowcast_rel_bias,Y3,6.0,0.038474572737084226,-0.060016580078635834
W36,F_hat(h),Y3,12.0,0.8110398073812555,-0.0007856251843394446
W36,nowcast_rel_bias,Y3,12.0,0.0073639265339242475,-0.032994728363561765
W36,pooled_cov90,Y3,,0.8672566371681416,-0.008849557522123908
W36,F_hat(h),severe,1.0,0.7139457981678075,-0.008715844399495798
W36,nowcast_rel_bias,severe,1.0,-0.02992708318376153,-0.025056919263608507
W36,F_hat(h),severe,3.0,0.8275389145740031,-0.008035975715437238
W36,nowcast_rel_bias,severe,3.0,-0.017894716566994668,-0.02191369675826353
W36,F_hat(h),severe,6.0,0.8891437572489292,-0.006756429028300981
W36,nowcast_rel_bias,severe,6.0,-0.006013531914856184,-0.015670785128844233
W36,F_hat(h),severe,12.0,0.9430668392120208,-0.00500605494159001
W36,nowcast_rel_bias,severe,12.0,-5.352892359347453e-05,-0.007872453997280055
W36,pooled_cov90,severe,,0.9083333333333333,-0.08333333333333337
W36,n_complaints,-,,1475987.0,0.0
W_all_history,F_hat(h),Y0,1.0,0.6407267145725691,-0.05791522674940541
W_all_history,nowcast_rel_bias,Y0,1.0,0.12605915437516377,0.11442125454285859
W_all_history,F_hat(h),Y0,3.0,0.7482973761751971,-0.05522303677908047
W_all_history,nowcast_rel_bias,Y0,3.0,0.10239901341746335,0.07821588066545698
