cohort_year,severity,n,p25,p50,p75
1995,0,16352,0.0,18.0,157.25
1995,1,2777,4.0,18.0,104.0
1995,2,2029,5.0,19.0,69.0
1995,3,101,8.0,33.0,224.0
1996,0,15151,7.0,56.0,326.0
1996,1,3205,4.0,19.0,59.0
1996,2,1832,6.0,25.0,89.0
1996,3,89,19.0,62.0,304.0
1997,0,12914,22.0,101.5,415.0
1997,1,1671,6.0,27.0,85.0
1997,2,1289,11.0,41.0,124.0
1997,3,65,44.0,123.0,672.0
1998,0,18770,21.0,100.0,342.0
1998,1,1740,6.0,28.0,111.25
1998,2,1368,13.0,42.0,154.0
1998,3,72,42.75,164.5,717.75
1999,0,23248,12.0,64.0,274.0
1999,1,2433,5.0,26.0,90.0
1999,2,1727,8.0,34.0,154.0
1999,3,106,43.0,179.0,437.0
2000,0,27413,6.0,39.0,170.0
2000,1,2515,4.0,18.0,81.0
2000,2,2124,6.0,25.0,96.0
2000,3,125,32.0,89.0,272.0
2001,0,25619,5.0,26.0,146.0
2001,1,2343,4.0,15.0,51.5
2001,2,1975,5.0,18.0,68.0
2001,3,99,15.5,65.0,433.5
2002,0,26077,6.0,25.0,129.0
2002,1,2358,5.0,16.0,48.0
2002,2,1894,6.0,18.0,64.0
2002,3,85,19.0,103.0,385.0
2003,0,32341,2.0,16.0,100.0
2003,1,2396,3.0,16.0,80.0
2003,2,1856,6.0,29.0,103.25
2003,3,119,13.0,73.0,247.5
2004,0,36933,2.0,20.0,95.0
2004,1,2803,5.0,27.0,89.5
2004,2,2354,4.0,22.0,73.75
2004,3,99,15.5,91.0,350.0
2005,0,30099,3.0,21.0,113.0
2005,1,2761,3.0,15.0,57.0
2005,2,2043,4.0,17.0,58.0
2005,3,95,14.5,62.0,440.0
2006,0,29368,1.0,14.0,174.25
2006,1,1814,4.0,18.0,89.0
2006,2,1751,3.0,14.0,73.0
2006,3,89,12.0,57.0,1173.0
2007,0,31754,3.0,26.0,232.0
2007,1,2157,3.0,17.0,108.0
2007,2,1694,5.0,20.0,119.5
2007,3,56,33.25,210.0,888.0
2008,0,35205,3.0,26.0,228.0
2008,1,2239,3.0,19.0,134.5
2008,2,1746,4.0,15.0,72.0
2008,3,90,51.5,452.5,879.0
2009,0,40794,4.0,35.0,222.0
2009,1,2452,4.0,31.0,160.0
2009,2,1582,5.0,25.0,166.75
2009,3,92,99.25,223.5,888.5
2010,0,53478,2.0,17.0,126.0
2010,1,3170,3.0,11.0,44.0
2010,2,1909,4.0,16.0,62.0
2010,3,71,13.0,70.0,1218.5
2011,0,41543,3.0,24.0,188.0
2011,1,2199,3.0,14.0,93.0
2011,2,1292,4.0,16.0,102.0
2011,3,37,18.0,99.0,872.0
2012,0,39111,4.0,34.0,308.0
2012,1,2281,2.0,12.0,90.0
2012,2,1561,4.0,18.0,190.0
2012,3,49,19.0,236.0,712.0
2013,0,49972,3.0,28.0,239.0
2013,1,2496,3.0,14.0,111.25
2013,2,1754,5.0,27.0,280.0
2013,3,65,37.0,235.0,659.0
2014,0,65586,3.0,26.0,162.0
2014,1,3534,3.0,12.0,65.0
2014,2,2531,4.0,20.0,110.0
2014,3,87,21.0,78.0,411.0
2015,0,62884,2.0,21.0,138.0
2015,1,3183,3.0,13.0,60.0
2015,2,2558,4.0,18.0,93.75
2015,3,77,32.0,238.0,661.0
2016,0,70235,2.0,26.0,203.0
2016,1,2926,3.0,13.0,62.0
2016,2,2246,4.0,19.0,89.75
2016,3,75,27.0,99.0,499.5
