group,level,n,p25,p50,p75,p90,p95,mean
overall,all,1267531,3.0,20.0,136.0,480.0,855.0,166.48519897460938
severity,Y0 none,1142025,2.0,20.0,144.0,494.0,871.0,170.12051391601562
severity,Y1 crash/fire,71400,3.0,15.0,69.0,343.09999999999854,651.0500000000029,121.01079559326172
severity,Y2 injury,51920,4.0,19.0,88.0,380.0,738.0,139.94992065429688
severity,Y3 fatality,2186,21.0,99.0,464.75,1182.5,1800.5,382.82708740234375
channel,EVOQ,396153,4.0,31.0,171.0,504.0,867.0,178.68905639648438
channel,IVOQ,845644,2.0,15.0,114.0,471.0,860.0,160.9075927734375
channel,MAVQ,200,0.0,7.5,92.0,390.59999999999997,705.0499999999989,153.19000244140625
channel,VOQ,25534,14.0,62.0,221.0,450.0,630.3499999999985,161.97055053710938
era,1995-2004,278467,5.0,31.0,166.0,522.0,903.0,184.2781219482422
era,2005-2014,460607,3.0,23.0,182.0,655.0,1102.0,207.17819213867188
era,2015-2023,528457,2.0,13.0,93.0,367.0,660.1999999999534,121.6409912109375
