make,comp_family,peak_24mo_severe,tau_naive,tau_naive_str,tau_naive_matched,tau_naive_matched_str,tau_nowcast,tau_nowcast_str,delta_vs_naive,delta_vs_naive_matched,tau_naive_spec,delta_vs_naive_spec,tau_naive_matched_spec,delta_vs_naive_matched_spec
ACURA,AIR BAGS,39.0,,,,,,,,,,,,
BMW,AIR BAGS,84.0,,,,,,,,,,,,
BMW,ELECTRICAL SYSTEM,116.0,,,,,,,,,,,24219.0,
BMW,ENGINE,68.0,,,,,,,,,,,,
BMW,SEATS,52.0,,,,,,,,,,,,
BMW,SERVICE BRAKES,39.0,,,,,,,,,,,,
BMW,STRUCTURE,36.0,,,,,,,,,24220.0,,,
BUICK,AIR BAGS,57.0,,,,,,,,,,,,
BUICK,ELECTRICAL SYSTEM,52.0,,,,,,,,,,,,
BUICK,ENGINE,75.0,24192.0,2016-01,24192.0,2016-01,24182.0,2015-03,10.0,10.0,24182.0,0.0,24182.0,0.0
BUICK,ENGINE AND ENGINE COOLING,37.0,,,,,,,,,,,,
BUICK,"SERVICE BRAKES, HYDRAULIC",38.0,,,,,,,,,,,,
BUICK,VEHICLE SPEED CONTROL,40.0,,,,,,,,,,,,
CADILLAC,AIR BAGS,60.0,,,,,,,,,,,,
CADILLAC,ELECTRICAL SYSTEM,37.0,,,,,,,,,,,,
CHEVROLET,AIR BAGS,483.0,,,24177.0,2014-10,24177.0,2014-10,,0.0,,,24171.0,-6.0
CHEVROLET,ELECTRICAL SYSTEM,226.0,,,,,24171.0,2014-04,,,24171.0,0.0,24171.0,0.0
CHEVROLET,ELECTRONIC STABILITY CONTROL (ESC),37.0,,,,,,,,,,,,
CHEVROLET,ENGINE,156.0,,,24180.0,2015-01,24171.0,2014-04,,9.0,24171.0,0.0,24171.0,0.0
CHEVROLET,ENGINE AND ENGINE COOLING,79.0,,,,,,,,,,,,
CHEVROLET,"FUEL SYSTEM, GASOLINE",36.0,,,,,,,,,,,,
CHEVROLET,LATCHES/LOCKS/LINKAGES,37.0,,,,,,,,,,,,
CHEVROLET,POWER TRAIN,55.0,,,,,,,,,,,,
CHEVROLET,SEAT BELTS,60.0,,,,,,,,,,,,
CHEVROLET,SEATS,65.0,,,,,,,,,,,,
CHEVROLET,SERVICE BRAKES,228.0,24152.0,2012-09,24152.0,2012-09,24150.0,2012-07,2.0,2.0,24150.0,0.0,24150.0,0.0
CHEVROLET,"SERVICE BRAKES, HYDRAULIC",508.0,,,,,,,,,,,24068.0,
CHEVROLET,STEERING,163.0,,,,,24125.0,2010-06,,,24125.0,0.0,24125.0,0.0
CHEVROLET,STRUCTURE,93.0,,,,,24064.0,2005-05,,,24064.0,0.0,24064.0,0.0
CHEVROLET,SUSPENSION,30.0,,,,,,,,,,,,
CHEVROLET,TIRES,43.0,,,,,,,,,,,,
CHEVROLET,UNKNOWN OR OTHER,48.0,,,,,,,,,,,,
CHEVROLET,VEHICLE SPEED CONTROL,66.0,,,,,,,,,,,,
CHRYSLER,AIR BAGS,140.0,,,,,,,,,,,,
CHRYSLER,ELECTRICAL SYSTEM,83.0,,,24212.0,2017-09,24212.0,2017-09,,0.0,24212.0,0.0,24066.0,-146.0
CHRYSLER,ENGINE,36.0,,,,,,,,,,,,
CHRYSLER,ENGINE AND ENGINE COOLING,30.0,,,,,,,,,,,,
CHRYSLER,POWER TRAIN,40.0,,,,,24198.0,2016-07,,,24198.0,0.0,,
CHRYSLER,SEATS,36.0,,,,,24235.0,2019-08,,,24235.0,0.0,,
CHRYSLER,"SERVICE BRAKES, HYDRAULIC",36.0,,,,,,,,,,,,
CHRYSLER,VEHICLE SPEED CONTROL,39.0,,,,,,,,,,,,
COSCO,CHILD SEAT,32.0,,,,,,,,,,,,
DODGE,AIR BAGS,371.0,,,,,24188.0,2015-09,,,,,24188.0,0.0
DODGE,ELECTRICAL SYSTEM,186.0,,,24173.0,2014-06,24176.0,2014-09,,-3.0,24176.0,0.0,24170.0,-6.0
DODGE,ENGINE,69.0,,,,,24157.0,2013-02,,,24157.0,0.0,24157.0,0.0
DODGE,ENGINE AND ENGINE COOLING,62.0,,,,,,,,,,,24105.0,
DODGE,"FUEL SYSTEM, GASOLINE",38.0,,,,,,,,,,,,
DODGE,POWER TRAIN,152.0,,,,,,,,,,,24062.0,
DODGE,SEAT BELTS,44.0,,,,,,,,,,,,
DODGE,SEATS,56.0,24246.0,2020-07,24246.0,2020-07,24246.0,2020-07,0.0,0.0,24246.0,0.0,24246.0,0.0
DODGE,SERVICE BRAKES,77.0,,,,,24151.0,2012-08,,,24151.0,0.0,24151.0,0.0
DODGE,"SERVICE BRAKES, HYDRAULIC",125.0,,,,,,,,,,,,
DODGE,STEERING,64.0,,,,,,,,,,,,
DODGE,STRUCTURE,53.0,,,,,,,,,,,,
DODGE,SUSPENSION,82.0,,,,,,,,,,,,
DODGE,UNKNOWN OR OTHER,47.0,,,,,,,,,,,,
DODGE,VEHICLE SPEED CONTROL,49.0,,,,,,,,,,,,
EVENFLO,CHILD SEAT,38.0,,,,,24065.0,2005-06,,,24065.0,0.0,,
FIRESTONE,TIRES,115.0,,,,,,,,,,,,
FORD,AIR BAGS,593.0,,,,,,,,,,,24179.0,
FORD,ELECTRICAL SYSTEM,882.0,24061.0,2005-02,24061.0,2005-02,24061.0,2005-02,0.0,0.0,24061.0,0.0,24061.0,0.0
FORD,ENGINE,176.0,24151.0,2012-08,24151.0,2012-08,24149.0,2012-06,2.0,2.0,24149.0,0.0,24149.0,0.0
FORD,ENGINE AND ENGINE COOLING,234.0,,,24091.0,2007-08,24117.0,2009-10,,-26.0,,,24091.0,-26.0
FORD,"FUEL SYSTEM, GASOLINE",112.0,,,,,,,,,,,,
FORD,PARKING BRAKE,39.0,,,,,,,,,,,,
FORD,POWER TRAIN,122.0,,,,,,,,,,,24223.0,
FORD,SEAT BELTS,110.0,,,,,,,,,,,,
FORD,SEATS,69.0,,,,,,,,,,,,
FORD,SERVICE BRAKES,164.0,,,24204.0,2017-01,24151.0,2012-08,,53.0,24151.0,0.0,24151.0,0.0
FORD,"SERVICE BRAKES, HYDRAULIC",203.0,,,,,,,,,,,,
FORD,STEERING,110.0,,,,,,,,,,,24159.0,
FORD,STRUCTURE,93.0,,,,,24152.0,2012-09,,,24152.0,0.0,24178.0,26.0
FORD,SUSPENSION,69.0,,,,,24097.0,2008-02,,,24097.0,0.0,24097.0,0.0
FORD,TIRES,382.0,,,,,,,,,,,,
FORD,UNKNOWN OR OTHER,123.0,,,24224.0,2018-09,24066.0,2005-07,,158.0,24066.0,0.0,24066.0,0.0
FORD,VEHICLE SPEED CONTROL,599.0,24062.0,2005-03,24061.0,2005-02,24061.0,2005-02,1.0,0.0,24062.0,1.0,24061.0,0.0
FORD,VISIBILITY,35.0,,,,,,,,,,,,
GEO,AIR BAGS,64.0,,,,,,,,,,,,
GMC,AIR BAGS,79.0,,,,,,,,,,,24096.0,
GMC,ELECTRICAL SYSTEM,36.0,,,,,,,,,24279.0,,,
GMC,SERVICE BRAKES,59.0,,,,,,,,,,,24178.0,
GMC,"SERVICE BRAKES, HYDRAULIC",157.0,,,,,,,,,,,,
GMC,STRUCTURE,30.0,,,,,,,,,,,,
HONDA,AIR BAGS,377.0,,,24178.0,2014-11,24178.0,2014-11,,0.0,24178.0,0.0,24174.0,-4.0
HONDA,ELECTRICAL SYSTEM,62.0,,,,,24141.0,2011-10,,,24123.0,-18.0,24141.0,0.0
