channel,d,F,n
EVOQ,0,0.3964822298342599,383311
EVOQ,1,0.5811208131256342,383311
EVOQ,2,0.6603567338271012,383311
EVOQ,3,0.7109448985288708,383311
EVOQ,4,0.7467226351448302,383311
EVOQ,5,0.7760147765130664,383311
EVOQ,6,0.8024763181854943,383311
EVOQ,7,0.8220765905491885,383311
EVOQ,8,0.838274925582621,383311
EVOQ,9,0.8518018006266452,383311
EVOQ,10,0.8633172541356757,383311
EVOQ,11,0.8732987052289133,383311
EVOQ,12,0.8992149977433468,383311
EVOQ,13,0.9104356514683899,383311
EVOQ,14,0.9182100174531908,383311
EVOQ,15,0.9249538886178587,383311
EVOQ,16,0.9308446666023151,383311
EVOQ,17,0.9363493351351775,383311
EVOQ,18,0.9416192073799082,383311
EVOQ,19,0.9461403403502638,383311
EVOQ,20,0.9499962171709134,383311
EVOQ,21,0.953572947293451,383311
EVOQ,22,0.9568992280419816,383311
EVOQ,23,0.9601707229899481,383311
EVOQ,24,0.9706869878505965,383311
EVOQ,25,0.9741958879343405,383311
EVOQ,26,0.9771934538794869,383311
EVOQ,27,0.9798701315641868,383311
EVOQ,28,0.9823120129607551,383311
EVOQ,29,0.9845321423074214,383311
EVOQ,30,0.9865722611665201,383311
EVOQ,31,0.9884897641862613,383311
EVOQ,32,0.9901176851173068,383311
EVOQ,33,0.9918760484306477,383311
EVOQ,34,0.9934752720375882,383311
EVOQ,35,0.9950614514062993,383311
EVOQ,36,1.0,383311
IVOQ,0,0.5017476483848938,817098
IVOQ,1,0.6741737221239068,817098
IVOQ,2,0.7349608002956806,817098
IVOQ,3,0.7720652847026918,817098
IVOQ,4,0.7983766941052358,817098
IVOQ,5,0.8193619370014368,817098
IVOQ,6,0.8367037980756287,817098
IVOQ,7,0.8514058289213778,817098
IVOQ,8,0.8637152459068558,817098
IVOQ,9,0.8744410095239494,817098
IVOQ,10,0.8836957133660834,817098
IVOQ,11,0.8920937268234654,817098
IVOQ,12,0.9088799629909754,817098
IVOQ,13,0.918854286756301,817098
IVOQ,14,0.9261080066283359,817098
IVOQ,15,0.932452410849127,817098
IVOQ,16,0.938074747459913,817098
IVOQ,17,0.9431561452848986,817098
IVOQ,18,0.9475179231866924,817098
IVOQ,19,0.9514586989565511,817098
IVOQ,20,0.9549209519543556,817098
IVOQ,21,0.9584652024604148,817098
IVOQ,22,0.9618234287686422,817098
IVOQ,23,0.9649442294559527,817098
IVOQ,24,0.97235704897087,817098
IVOQ,25,0.9760738613972865,817098
IVOQ,26,0.9791053215159014,817098
IVOQ,27,0.9817145556591743,817098
IVOQ,28,0.9840949310853777,817098
IVOQ,29,0.9862244186131897,817098
IVOQ,30,0.9882254025832886,817098
