era,d,F,n
1995-2004,0,0.393563093380214,268483
1995-2004,1,0.589292431923064,268483
1995-2004,2,0.6727241575816718,268483
1995-2004,3,0.7222840924751288,268483
1995-2004,4,0.7560925645199137,268483
1995-2004,5,0.782902455648961,268483
1995-2004,6,0.8046245013650771,268483
1995-2004,7,0.8228342204161903,268483
1995-2004,8,0.8384888428690085,268483
1995-2004,9,0.8523034978006057,268483
1995-2004,10,0.8644793152639088,268483
1995-2004,11,0.875831989362455,268483
1995-2004,12,0.89509577887613,268483
1995-2004,13,0.9071859298354086,268483
1995-2004,14,0.9163336226129773,268483
1995-2004,15,0.9241665207853011,268483
1995-2004,16,0.9305989578483553,268483
1995-2004,17,0.9365211205178726,268483
1995-2004,18,0.9419367334244626,268483
1995-2004,19,0.9469985064231254,268483
1995-2004,20,0.9514904109384952,268483
1995-2004,21,0.9555390844113035,268483
1995-2004,22,0.9596063810371607,268483
1995-2004,23,0.963360808691798,268483
1995-2004,24,0.969752274818145,268483
1995-2004,25,0.9738381945970508,268483
1995-2004,26,0.9771866375152244,268483
1995-2004,27,0.9801775158948611,268483
1995-2004,28,0.9828778730869366,268483
1995-2004,29,0.9852988829832802,268483
1995-2004,30,0.9873884007553551,268483
1995-2004,31,0.9897162948864546,268483
1995-2004,32,0.9917499431993833,268483
1995-2004,33,0.9935452151532872,268483
1995-2004,34,0.9953628348908496,268483
1995-2004,35,0.997199077781461,268483
1995-2004,36,1.0,268483
2005-2014,0,0.44712498518268606,438676
2005-2014,1,0.6211395198278457,438676
2005-2014,2,0.68605531189306,438676
2005-2014,3,0.7268895494624734,438676
2005-2014,4,0.7559155276331506,438676
2005-2014,5,0.7796300686611531,438676
2005-2014,6,0.8008575805378001,438676
2005-2014,7,0.8175646718762822,438676
2005-2014,8,0.831344773819402,438676
2005-2014,9,0.8433946694143286,438676
2005-2014,10,0.8537804666770008,438676
2005-2014,11,0.8633866452689456,438676
2005-2014,12,0.8868048400186014,438676
2005-2014,13,0.899828119158559,438676
2005-2014,14,0.9083583328014297,438676
2005-2014,15,0.9157578714130702,438676
2005-2014,16,0.9221635101988711,438676
2005-2014,17,0.9276185613072062,438676
2005-2014,18,0.9327590294431426,438676
2005-2014,19,0.9373364396502202,438676
2005-2014,20,0.9413485123416827,438676
2005-2014,21,0.9453514666861191,438676
2005-2014,22,0.9491994091311127,438676
2005-2014,23,0.9530040394277325,438676
2005-2014,24,0.9643313060208445,438676
2005-2014,25,0.9692346971341035,438676
2005-2014,26,0.9731031558599057,438676
2005-2014,27,0.9764495892184665,438676
2005-2014,28,0.9793423848124811,438676
2005-2014,29,0.9818681669386974,438676
2005-2014,30,0.9844213041059917,438676
2005-2014,31,0.9865276422690095,438676
2005-2014,32,0.9884652910120454,438676
2005-2014,33,0.990455370250481,438676
2005-2014,34,0.9923360293246041,438676
2005-2014,35,0.9941300641019796,438676
2005-2014,36,1.0,438676
2015-2023,0,0.5150525591374634,518749
2015-2023,1,0.6831666181525169,518749
2015-2023,2,0.7445064954342081,518749
2015-2023,3,0.7833576546653583,518749
2015-2023,4,0.8116507212544024,518749
2015-2023,5,0.8342589576076291,518749
2015-2023,6,0.8536074286408263,518749
2015-2023,7,0.8689751691087597,518749
2015-2023,8,0.8818850735133947,518749
2015-2023,9,0.8926282267532082,518749
2015-2023,10,0.9016171597439224,518749
2015-2023,11,0.9091776562460844,518749
2015-2023,12,0.9258890137619542,518749
2015-2023,13,0.9334668596951512,518749
2015-2023,14,0.9393907265363403,518749
2015-2023,15,0.9446880861457082,518749
2015-2023,16,0.9496500234217319,518749
2015-2023,17,0.9544442495310834,518749
2015-2023,18,0.9584365463837039,518749
2015-2023,19,0.9617965528608248,518749
2015-2023,20,0.9647324621348667,518749
2015-2023,21,0.9676876485545033,518749
2015-2023,22,0.970305484926236,518749
2015-2023,23,0.9726746461197997,518749
2015-2023,24,0.9794293579361116,518749
2015-2023,25,0.981792735985997,518749
2015-2023,26,0.9839498485780214,518749
2015-2023,27,0.9857753942658203,518749
2015-2023,28,0.9876298556720109,518749
2015-2023,29,0.9893127504824105,518749
2015-2023,30,0.9908298618406975,518749
2015-2023,31,0.9922486597564525,518749
2015-2023,32,0.993438059639633,518749
2015-2023,33,0.9945927606607434,518749
2015-2023,34,0.9957089073906649,518749
2015-2023,35,0.9967228852489354,518749
2015-2023,36,1.0,518749
