severity,label,d,F,n
0,Y0 none,0,0.46505826944021106,1103666
0,Y0 none,1,0.6352927425507354,1103666
0,Y0 none,2,0.7015981284192863,1103666
0,Y0 none,3,0.7435764080799807,1103666
0,Y0 none,4,0.7737241158103991,1103666
0,Y0 none,5,0.7980648130865678,1103666
0,Y0 none,6,0.8191336871843474,1103666
0,Y0 none,7,0.8360871857971524,1103666
0,Y0 none,8,0.8501539415004177,1103666
0,Y0 none,9,0.8623106990701898,1103666
0,Y0 none,10,0.8727413909642954,1103666
0,Y0 none,11,0.8820132177669694,1103666
0,Y0 none,12,0.902490427357552,1103666
0,Y0 none,13,0.9132463988199329,1103666
0,Y0 none,14,0.9209769984759882,1103666
0,Y0 none,15,0.9277852176292465,1103666
0,Y0 none,16,0.9337607573305692,1103666
0,Y0 none,17,0.9392053392964901,1103666
0,Y0 none,18,0.9440564446127724,1103666
0,Y0 none,19,0.9483149793506369,1103666
0,Y0 none,20,0.952050710994087,1103666
0,Y0 none,21,0.955669559450051,1103666
0,Y0 none,22,0.9591443425819043,1103666
0,Y0 none,23,0.9624107293329685,1103666
0,Y0 none,24,0.9711334769758242,1103666
0,Y0 none,25,0.9749045453968864,1103666
0,Y0 none,26,0.9780268668238398,1103666
0,Y0 none,27,0.9807206165633443,1103666
0,Y0 none,28,0.9831733513581101,1103666
0,Y0 none,29,0.9853615133563959,1103666
0,Y0 none,30,0.9874192010988831,1103666
0,Y0 none,31,0.9893083595942975,1103666
0,Y0 none,32,0.9909836852815979,1103666
0,Y0 none,33,0.9926010224107655,1103666
0,Y0 none,34,0.994173962050113,1103666
0,Y0 none,35,0.9956871009888861,1103666
0,Y0 none,36,1.0,1103666
1,Y1 crash/fire,0,0.47864914066195546,69763
1,Y1 crash/fire,1,0.705846938921778,69763
1,Y1 crash/fire,2,0.7805856972893941,69763
1,Y1 crash/fire,3,0.8192021558705904,69763
1,Y1 crash/fire,4,0.8439143958832046,69763
1,Y1 crash/fire,5,0.8630362799764918,69763
1,Y1 crash/fire,6,0.8778865587775755,69763
1,Y1 crash/fire,7,0.8892822843054341,69763
1,Y1 crash/fire,8,0.900090305749466,69763
1,Y1 crash/fire,9,0.9087481903014492,69763
1,Y1 crash/fire,10,0.9159726502587331,69763
1,Y1 crash/fire,11,0.9231827759700701,69763
1,Y1 crash/fire,12,0.9360119260926278,69763
1,Y1 crash/fire,13,0.9442541175121483,69763
1,Y1 crash/fire,14,0.9497728022017402,69763
1,Y1 crash/fire,15,0.9540444074939438,69763
1,Y1 crash/fire,16,0.9577283087023207,69763
1,Y1 crash/fire,17,0.9611685277295988,69763
1,Y1 crash/fire,18,0.9644080673136189,69763
1,Y1 crash/fire,19,0.9675329329300633,69763
1,Y1 crash/fire,20,0.9701274314464687,69763
