term,beta,se,hr,hr_lo95,hr_hi95,p,reference
const,-0.2959965852724992,0.002144449299640395,0.7437899678559012,0.7406703468886442,0.7469227283190489,0.0,
dbin_1,-0.4318623607225515,0.0025530034297228206,0.6492987395444457,0.6460578969220122,0.6525558393180625,0.0,0
dbin_10,-2.0326798705730766,0.009058052648031988,0.13098403013573717,0.12867913129429245,0.13333021429373523,0.0,0
dbin_11,-2.0650003670410246,0.009559964108478057,0.1268182440204883,0.1244641504933197,0.1292168624675852,0.0,0
dbin_12,-1.165397570042854,0.006598910905150315,0.3117986755748191,0.3077919541587477,0.31585755500310975,0.0,0
dbin_13-18,-1.857822785629143,0.004696973674021068,0.1560119322884606,0.15458229281509306,0.1574547936450503,0.0,0
dbin_19-24,-1.777645918832073,0.005743488291417283,0.16903560279300897,0.16714343399008413,0.1709491921369224,0.0,0
dbin_2,-1.0765172832151944,0.0037396548904039557,0.34078030260590747,0.3382916546074624,0.34328725838338237,0.0,0
dbin_25-36,-1.2198048728201576,0.005572226601862457,0.2952877799746437,0.2920803812701632,0.2985303998275108,0.0,0
dbin_3,-1.3675346175172958,0.004622437100910177,0.2547342032797587,0.25243678254906315,0.2570525327780298,0.0,0
dbin_4,-1.566798341597543,0.005414224060625126,0.20871233939777967,0.20650925983703095,0.21093892182496074,0.0,0
dbin_5,-1.6629189474786579,0.0060010146614359414,0.1895847836336411,0.1873679927695193,0.19182780182540096,0.0,0
dbin_6,-1.7019174769230645,0.00645375525748714,0.1823335682344663,0.18004173303100482,0.18465457727730045,0.0,0
dbin_7,-1.8178839807632812,0.007174024332525619,0.16236896353387034,0.16010189702016442,0.16466813204432473,0.0,0
dbin_8,-1.8980373879000498,0.007807650233153669,0.1498624526506981,0.14758660821821204,0.15217339151311526,0.0,0
dbin_9,-1.9609221053045156,0.008402528394302673,0.14072859448994746,0.13842996372387914,0.14306539404011842,0.0,0
severity_1,0.19964227881677044,0.003995447970418529,1.2209659146590663,1.211441950451932,1.2305647531878179,0.0,0
severity_2,0.17816436313169212,0.004738789426010825,1.195021722606554,1.1839739168437662,1.2061726167992777,2.40463143326073e-309,0
severity_3,-0.34217873474132704,0.022942917351272407,0.7102212521523106,0.6789919369047733,0.7428869174915381,2.6584738674979276e-50,0
era_1995-2004,-0.199799208592943,0.0027237910968230124,0.8188951636834593,0.8145351137670889,0.8232785521090625,0.0,2015-2023
era_2005-2014,-0.20825999607022339,0.0021488730551349716,0.8119958935235752,0.8085831909250035,0.8154229997594683,0.0,2015-2023
channel_EVOQ,-0.12183387720821932,0.002036621418075218,0.8852954240350425,0.8817686298356582,0.8888363242900336,0.0,IVOQ
channel_MAVQ,0.06031947884151008,0.07201453203534255,1.0621758350499864,0.9223537886556678,1.2231938746720115,0.4022545595847624,IVOQ
channel_VOQ,-0.2386016394324611,0.006750780389831627,0.7877286198982989,0.7773746064104833,0.7982205406375501,1.226376091592818e-273,IVOQ
compfam_AIR BAGS,-0.24967315212806973,0.003373864269878013,0.7790553740540034,0.7739207470821359,0.7842240670387534,0.0,OTHER
compfam_ELECTRICAL SYSTEM,-0.04662756139024957,0.0030977009184118935,0.9544428027535043,0.9486655713132724,0.9602552166691241,3.3337548314317426e-51,OTHER
compfam_ENGINE,-0.06144882658958103,0.0038089294269626588,0.9404010680379402,0.9334067712631692,0.9474477751753524,1.4997722354096269e-58,OTHER
compfam_ENGINE AND ENGINE COOLING,0.0294524707526125,0.00413519097505993,1.0298904843889822,1.0215771364760953,1.0382714843185923,1.0606620818861231e-12,OTHER
compfam_POWER TRAIN,0.0004979387378403182,0.003235554563727714,1.000498062729913,0.9941734091289527,1.0068629520108912,0.87769177884029,OTHER
"compfam_SERVICE BRAKES, HYDRAULIC",-0.05367616409496086,0.004541340137047867,0.9477389687192908,0.93934070523758,0.9562123176615963,3.0968808833097896e-32,OTHER
compfam_STEERING,0.09656675765515073,0.0037395604391885504,1.1013831044431206,1.0933401340500546,1.1094852415773766,4.88994771291672e-147,OTHER
compfam_STRUCTURE,-0.1173572155519402,0.004248564347445514,0.8892674762477278,0.8818932618062366,0.8967033523902255,5.925095928721818e-168,OTHER
