stream,cohort,cohort_p,h,C_obs,F_hat_h,N_hat,implied_missing,mature
all,2022-07,24270,36,4900.0,1.0,4900.0,0.0,True
all,2022-08,24271,36,5216.0,1.0,5216.0,0.0,True
all,2022-09,24272,36,4781.0,1.0,4781.0,0.0,True
all,2022-10,24273,36,4424.0,1.0,4424.0,0.0,True
all,2022-11,24274,36,4150.0,1.0,4150.0,0.0,True
all,2022-12,24275,36,4404.0,1.0,4404.0,0.0,True
all,2023-01,24276,36,5238.0,1.0,5238.0,0.0,True
all,2023-02,24277,36,4550.0,1.0,4550.0,0.0,True
all,2023-03,24278,36,5074.0,1.0,5074.0,0.0,True
all,2023-04,24279,36,4712.0,1.0,4712.0,0.0,True
all,2023-05,24280,36,5536.0,1.0,5536.0,0.0,True
all,2023-06,24281,36,5684.0,1.0,5684.0,0.0,True
all,2023-07,24282,35,5983.0,0.996893217083907,6001.645810673041,18.645810673040614,False
all,2023-08,24283,34,5911.0,0.9959574186221914,5934.992690929783,23.99269092978284,False
all,2023-09,24284,33,5598.0,0.9949421232102905,5626.457930977367,28.45793097736714,False
all,2023-10,24285,32,5365.0,0.9939002848295796,5397.9258099517665,32.925809951766496,False
all,2023-11,24286,31,5142.0,0.9929078226022631,5178.728460939694,36.72846093969383,False
all,2023-12,24287,30,5337.0,0.9918021233075721,5381.1137066349265,44.11370663492653,False
all,2024-01,24288,29,6409.0,0.9904555819750878,6470.759634894158,61.7596348941579,False
all,2024-02,24289,28,5368.0,0.9890740853494724,5427.298196882096,59.29819688209591,False
all,2024-03,24290,27,5257.0,0.9876040140847177,5322.983630106073,65.98363010607318,False
all,2024-04,24291,26,5322.0,0.9860954470928628,5397.043476561976,75.0434765619757,False
all,2024-05,24292,25,5560.0,0.9842034263396948,5649.238613888937,89.23861388893692,False
all,2024-06,24293,24,5541.0,0.982053673972673,5642.257797972646,101.25779797264568,False
all,2024-07,24294,23,5715.0,0.9754375347568777,5858.909254936998,143.90925493699797,False
all,2024-08,24295,22,5952.0,0.9735174423371653,6113.912027822303,161.91202782230266,False
all,2024-09,24296,21,5169.0,0.9714688847497275,5320.808603490838,151.80860349083832,False
all,2024-10,24297,20,5502.0,0.969210979418757,5676.7825755539725,174.7825755539725,False
all,2024-11,24298,19,5056.0,0.9667652599918454,5229.81142293285,173.8114229328503,False
all,2024-12,24299,18,5362.0,0.963879516020333,5562.935938444499,200.9359384444988,False
all,2025-01,24300,17,6040.0,0.960409925777366,6288.981233832168,248.98123383216807,False
all,2025-02,24301,16,5151.0,0.9565747087843142,5384.838165485549,233.83816548554933,False
all,2025-03,24302,15,5611.0,0.9527488881767529,5889.274781246508,278.2747812465077,False
all,2025-04,24303,14,5449.0,0.948437730190929,5745.237485336088,296.23748533608796,False
all,2025-05,24304,13,5679.0,0.9428868401103495,6022.992111476883,343.9921114768831,False
all,2025-06,24305,12,6090.0,0.9360717338975899,6505.911651281921,415.91165128192097,False
all,2025-07,24306,11,6446.0,0.9212194514158075,6997.246953582282,551.246953582282,False
all,2025-08,24307,10,5844.0,0.9144244283378429,6390.905381456933,546.9053814569334,False
all,2025-09,24308,9,5213.0,0.9066055257721914,5750.020104454894,537.020104454894,False
all,2025-10,24309,8,5802.0,0.8973188296163813,6465.929175341669,663.9291753416692,False
all,2025-11,24310,7,4942.0,0.8855919820685207,5580.447994184328,638.4479941843283,False
all,2025-12,24311,6,5383.0,0.8718437628121477,6174.271388530712,791.2713885307121,False
all,2026-01,24312,5,5405.0,0.8537637558807745,6330.791114954278,925.7911149542779,False
all,2026-02,24313,4,4867.0,0.8327992960562244,5844.145189660939,977.1451896609387,False
all,2026-03,24314,3,5316.0,0.8054505405931215,6600.032816522016,1284.0328165220162,False
all,2026-04,24315,2,4673.0,0.7663084643491297,6098.06653247534,1425.06653247534,False
all,2026-05,24316,1,4327.0,0.7000934672443938,6180.603308628644,1853.6033086286443,False
all,2026-06,24317,0,3087.0,0.5203589887895564,5932.44292210823,2845.44292210823,False
Y0,2022-07,24270,36,4624.0,1.0,4624.0,0.0,True
Y0,2022-08,24271,36,4850.0,1.0,4850.0,0.0,True
Y0,2022-09,24272,36,4513.0,1.0,4513.0,0.0,True
Y0,2022-10,24273,36,4139.0,1.0,4139.0,0.0,True
Y0,2022-11,24274,36,3850.0,1.0,3850.0,0.0,True
Y0,2022-12,24275,36,4103.0,1.0,4103.0,0.0,True
Y0,2023-01,24276,36,4935.0,1.0,4935.0,0.0,True
Y0,2023-02,24277,36,4282.0,1.0,4282.0,0.0,True
Y0,2023-03,24278,36,4747.0,1.0,4747.0,0.0,True
Y0,2023-04,24279,36,4385.0,1.0,4385.0,0.0,True
Y0,2023-05,24280,36,5201.0,1.0,5201.0,0.0,True
Y0,2023-06,24281,36,5351.0,1.0,5351.0,0.0,True
Y0,2023-07,24282,35,5608.0,0.9967852347034095,5626.086547789448,18.08654778944765,False
Y0,2023-08,24283,34,5572.0,0.9958573765911404,5595.178718335329,23.178718335328995,False
Y0,2023-09,24284,33,5281.0,0.9948374474345982,5308.404919435021,27.40491943502093,False
Y0,2023-10,24285,32,5069.0,0.9938076250346469,5100.584733210595,31.584733210595004,False
