stream,W,d,F,lam
all,60,0,0.5203589887895564,1.345404773102758
all,60,1,0.7000934672443938,1.0945802242168632
all,60,2,0.7663084643491297,1.051078747090752
all,60,3,0.8054505405931215,1.0339546056334679
all,60,4,0.8327992960562244,1.025173484084135
all,60,5,0.8537637558807745,1.0211768265012857
all,60,6,0.8718437628121477,1.0157691318591624
all,60,7,0.8855919820685207,1.0132418176601707
all,60,8,0.8973188296163813,1.0103493829052717
all,60,9,0.9066055257721914,1.0086243711773009
all,60,10,0.9144244283378429,1.0074309290821506
all,60,11,0.9212194514158075,1.0161224151953763
all,60,12,0.9360717338975899,1.0072805384095758
all,60,13,0.9428868401103495,1.005887122234021
all,60,14,0.948437730190929,1.0045455361470657
all,60,15,0.9527488881767529,1.0040155602961476
all,60,16,0.9565747087843142,1.004009323012445
all,60,17,0.960409925777366,1.0036126138952164
all,60,18,0.963879516020333,1.0029938845297046
all,60,19,0.9667652599918454,1.002529796557783
all,60,20,0.969210979418757,1.0023296324318618
all,60,21,0.9714688847497275,1.0021087217713263
all,60,22,0.9735174423371653,1.0019723246201966
all,60,23,0.9754375347568777,1.0067827400320866
all,60,24,0.982053673972673,1.0021890375485543
all,60,25,0.9842034263396948,1.0019223878951575
all,60,26,0.9860954470928628,1.0015298387152098
all,60,27,0.9876040140847177,1.0014885229745822
all,60,28,0.9890740853494724,1.0013967574786142
all,60,29,0.9904555819750878,1.001359517132307
all,60,30,0.9918021233075721,1.0011148386040993
all,60,31,0.9929078226022631,1.0009995512219003
all,60,32,0.9939002848295796,1.0010482322991683
all,60,33,0.9949421232102905,1.0010204567564442
all,60,34,0.9959574186221914,1.0009395968584782
all,60,35,0.996893217083907,1.0031164650966138
all,60,36,1.0,
Y0,60,0,0.5211310982465824,1.3406260798341374
Y0,60,1,0.6986419413219745,1.0942835896082712
Y0,60,2,0.7645124114007015,1.0510233725075928
Y0,60,3,0.8035204129542776,1.0341589215015912
Y0,60,4,0.8309678036653089,1.0253831456896623
Y0,60,5,0.8520603804891641,1.0213926562883702
Y0,60,6,0.8702882153459067,1.0158746529155098
Y0,60,7,0.8841037387009815,1.0134190881439928
Y0,60,8,0.8959676046990436,1.0104547749427162
Y0,60,9,0.9053347443621366,1.008695082926754
Y0,60,10,0.913206705040837,1.007485557547618
Y0,60,11,0.9200425663842908,1.0165500388759303
Y0,60,12,0.9352693066254616,1.0073522419964018
Y0,60,13,0.942145632899579,1.0059561990286814
Y0,60,14,0.9477572398031319,1.0046362653029244
Y0,60,15,0.9521512938096265,1.0040472690479372
Y0,60,16,0.9560049062700156,1.0040586048877904
Y0,60,17,0.9598849524553547,1.0036916189247638
Y0,60,18,0.9634284819114348,1.0030149765270648
Y0,60,19,0.9663331961699035,1.002540736474813
Y0,60,20,0.9687883941682349,1.0022871779078895
Y0,60,21,0.9710041855807963,1.0021317814961366
Y0,60,22,0.9730741543362885,1.0019833576903576
Y0,60,23,0.9750041084435797,1.007008190474066
Y0,60,24,0.9818371229485492,1.0022288892087075
Y0,60,25,0.9840255291165976,1.001948585341776
Y0,60,26,0.9859429868385675,1.0015406794396329
Y0,60,27,0.98746200892704,1.00150084193572
Y0,60,28,0.988944033319968,1.001421754298984
Y0,60,29,0.9903500687507953,1.0013350304679556
Y0,60,30,0.9916722162665196,1.0011321760789456
Y0,60,31,0.9927949638279314,1.001020010418678
Y0,60,32,0.9938076250346469,1.001036239181517
Y0,60,33,0.9948374474345982,1.001025221918588
Y0,60,34,0.9958573765911404,1.0009317178685218
Y0,60,35,0.9967852347034095,1.0032251333433395
Y0,60,36,1.0,
Y1,60,0,0.5200210912047808,1.409122085048011
Y1,60,1,0.7327732043074227,1.0977342314758114
Y1,60,2,0.8043902302764764,1.048662620813666
Y1,60,3,0.843533967038638,1.031041172666523
Y1,60,4,0.8697182505595614,1.0209446015289558
Y1,60,5,0.887934152759992,1.0166150670794634
Y1,60,6,0.9026872382702458,1.0153295861011753
Y1,60,7,0.9165250600117416,1.00989799010201
Y1,60,8,0.9255968159839819,1.0080152289349764
Y1,60,9,0.9330156863655787,1.0076815642458101
Y1,60,10,0.9401827063027446,1.0056620641700607
Y1,60,11,0.945506081117412,1.008318478906714
Y1,60,12,0.953371253509357,1.0069101678183614
Y1,60,13,0.9599592088643083,1.0048452486898052
Y1,60,14,0.9646104499633245,1.0026585269791257
Y1,60,15,0.9671748928688986,1.0028342455043002
Y1,60,16,0.9699161039608843,1.0030021305442571
Y1,60,17,0.9728279187219522,1.0022068700825177
Y1,60,18,0.9749748235512177,1.0023827678231034
Y1,60,19,0.9772979621891115,1.0018882175226587
Y1,60,20,0.9791433133261755,1.0022516183506895
Y1,60,21,0.9813479703784157,1.001578898486115
Y1,60,22,0.9828974192031982,1.0013847858197933
Y1,60,23,0.9842585216116222,1.0028419508617528
Y1,60,24,0.9870557359653038,1.0012675418741512
Y1,60,25,0.988306870442761,1.0012597858364078
Y1,60,26,0.9895519254401693,1.0009840758633028
Y1,60,27,0.9905257196054799,1.001601708489055
Y1,60,28,0.9921122530591993,1.0010589481115426
Y1,60,29,0.9931628484560145,1.001489529483922
Y1,60,30,0.9946421938011256,1.0005227846998344
Y1,60,31,0.9951621775218545,1.000606953958207
Y1,60,32,0.9957661951445593,1.0010311936065996
Y1,60,33,0.9967930228786605,1.0009375266342795
Y1,60,34,0.9977275428864731,1.0005917159763313
Y1,60,35,0.9983179142136249,1.0016849199663016
Y1,60,36,1.0,
Y2,60,0,0.4962269608366695,1.4426941879413362
Y2,60,1,0.7159037522988562,1.0987394957983194
Y2,60,2,0.7865917278409702,1.0556237936480084
Y2,60,3,0.8303449437956267,1.0289027054276592
Y2,60,4,0.8543441591094979,1.0229960578186597
Y2,60,5,0.873990706789414,1.0193579609614454
Y2,60,6,0.8909093847721096,1.011794708320051
Y2,60,7,0.9014174011050926,1.0111740635819957
Y2,60,8,0.9114898964589582,1.009854528390427
Y2,60,9,0.9204721995212003,1.0071450761105933
Y2,60,10,0.9270490434444645,1.0073937153419594
Y2,60,11,0.9339033801797286,1.011037866012571
Y2,60,12,0.9442116805588395,1.0045620437956204
Y2,60,13,0.9485192155978853,1.0045822514128608
Y2,60,14,0.9528655691136844,1.0036641221374045
Y2,60,15,0.9563569849394443,1.004393273746402
Y2,60,16,0.960558522973567,1.003284562555987
Y2,60,17,0.9637135375309601,1.0023588382721509
Y2,60,18,0.9659867819066781,1.002470930232558
Y2,60,19,0.9683736678503427,1.0028698522026116
Y2,60,20,0.9711527571539741,1.003833049403748
Y2,60,21,0.9748752336507314,1.0018227706113292
Y2,60,22,0.9766522075763426,1.0023630803447316
Y2,60,23,0.9789601152117051,1.0042693843823165
Y2,60,24,0.9831396722385007,1.0020333468889793
Y2,60,25,0.9851387362324789,1.0018789424238357
Y2,60,26,0.98698975519735,1.001860465116279
Y2,60,27,0.9888260152070194,1.0009219017516133
Y2,60,28,0.9897376156424795,1.001043705153294
Y2,60,29,0.9907706098923346,1.0019462826002337
Y2,60,30,0.9926989294911909,1.0014106181072069
Y2,60,31,0.9940992485761361,1.0008910386965377
Y2,60,32,0.9949850294748165,1.00152149106124
Y2,60,33,0.99649889030323,1.0008828351620633
Y2,60,34,0.9973786345625468,1.001251877816725
Y2,60,35,0.9986272307500311,1.001374656335916
Y2,60,36,1.0,
Y3,60,0,0.26380966025881286,1.6379310344827587
Y3,60,1,0.4321020297342624,1.25
Y3,60,2,0.540127537167828,1.1228070175438596
Y3,60,3,0.6064589891007192,1.1023622047244095
Y3,60,4,0.6685374683000054,1.0431654676258992
Y3,60,5,0.6973952007446099,1.0337837837837838
Y3,60,6,0.7209558494184143,1.0333333333333334
Y3,60,7,0.7449877110656948,1.0194805194805194
Y3,60,8,0.7595004586838577,1.0061728395061729
Y3,60,9,0.7641887331201779,1.0124223602484472
Y3,60,10,0.7736817608608012,1.030674846625767
Y3,60,11,0.7974143302123595,1.0180722891566265
Y3,60,12,0.8118254325655949,1.0238095238095237
Y3,60,13,0.8311546095314424,1.0116279069767442
Y3,60,14,0.8408191980143661,1.0113636363636365
Y3,60,15,0.8503739616281658,1.0112994350282485
Y3,60,16,0.8599827069572975,1.0165745856353592
Y3,60,17,0.8742365639786892,1.0162162162162163
Y3,60,18,0.8884133731242896,1.0264550264550265
Y3,60,19,0.911916372413292,1.0105263157894737
Y3,60,20,0.9215154921229056,1.0102564102564102
Y3,60,21,0.9309669330677559,1.01
Y3,60,22,0.9402766023984335,1.0048543689320388
Y3,60,23,0.9448410519246394,1.0096618357487923
Y3,60,24,0.9539699509770514,1.0046296296296295
Y3,60,25,0.958386478527871,1.004524886877828
Y3,60,26,0.9627230689284495,1.0044642857142858
